"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[-178.5868389, -52.6291128], [179.1144116, -52.6291128], [179.1144116, -29.230756], [-178.5868389, -29.230756]]]",New Zealand,New Zealand
"[[[81.534775, 20.939239], [82.194154, 20.939239], [82.194154, 21.623568], [81.534775, 21.623568]]]","Raipur, India",India
"[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]","Bengaluru South, India",India
"[[[73.269383, 16.971478], [73.336761, 16.971478], [73.336761, 17.019281], [73.269383, 17.019281]]]","Ratnagiri, India",India
"[[[74.6347853, 32.359211], [75.5020279, 32.359211], [75.5020279, 32.9564853], [74.6347853, 32.9564853]]]","Jammu, Jammu And Kashmir",Pakistan
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]]","Michigan, USA",United States
"[[[79.125472, 28.982011], [79.98024, 28.982011], [79.98024, 29.414743], [79.125472, 29.414743]]]","Haldwani-Kathgodam, India",India
"[[[78.3897718, 17.3013989], [78.5404168, 17.3013989], [78.5404168, 17.4759], [78.3897718, 17.4759]]]","Hyderabad, India",India
"[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]","Abu Dhabi, United Arab Emirates",United Arab Emirates
"[[[73.6246953, 18.2801029], [74.1954594, 18.2801029], [74.1954594, 18.7362196], [73.6246953, 18.7362196]]]","Haveli, India",India
"[[[72.732591, 22.580937], [73.095767, 22.580937], [73.095767, 22.890535], [72.732591, 22.890535]]]","Nadiad, India",India
"[[[74.6347853, 32.359211], [75.5020279, 32.359211], [75.5020279, 32.9564853], [74.6347853, 32.9564853]]]","Jammu, Jammu And Kashmir",Pakistan
"[[[74.6347853, 32.359211], [75.5020279, 32.359211], [75.5020279, 32.9564853], [74.6347853, 32.9564853]]]","Jammu, Jammu And Kashmir",Pakistan
"[[[74.6347853, 32.359211], [75.5020279, 32.359211], [75.5020279, 32.9564853], [74.6347853, 32.9564853]]]","Jammu, Jammu And Kashmir",Pakistan
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[82.671054, 25.166781], [83.194857, 25.166781], [83.194857, 25.57997], [82.671054, 25.57997]]]","Varanasi, India",India
"[[[77.45422, 28.736268], [77.87152, 28.736268], [77.87152, 29.089102], [77.45422, 29.089102]]]","Meerut, India",India
